Recipe Id,Recipe,Curray Name,Main Category,Sub Category,Estimated Time,Sri Lankan Cuisine,Province,Health Status
11,"Ingredients:
▢2 – 3 tbsp coconut oil or vegetable oil
▢½ yellow onion diced or sliced
▢4 garlic cloves minced or finely chopped
▢1 inch ginger minced or finely chopped
▢6 – 7 curry leaves or 2 bay leaves
▢2 ½ tbsp roasted Sri Lankan curry powder or unroasted is fine too
▢1 cinnamon stick (preferably Ceylon cinnamon) or ½ tsp ground cinnamon
▢½ tsp salt plus more to taste
▢1 tsp cayenne pepper or kashmiri chili powder less if you like it less spicy, please see recipe notes below
▢1 tbsp paprika NOT smoked paprika
▢2 lbs chicken whole chicken cut into sections OR any bone-in chicken thigh or leg pieces (large thigh pieces should be cut in half)
▢2 serrano peppers (or regular green chili) cut length-wise, with or without seeds
▢3 small roma tomatoes cut into cubes (or 2 medium-sized regular tomatoes)
▢2 tsp brown sugar see recipe notes
▢2 tsp lime juice or apple cider vinegar see recipe notes
▢½ cup full-fat coconut milk see recipe notes
▢½ cup water
Instructions:
Prepare the bone-in chicken by cutting it into smaller pieces. Each piece should be fairly small but not bite-sized. A regular chicken thigh should be cut in half and larger pieces should be cut into 3. A chicken breast should be cut into 3 pieces or more.
The larger the chicken piece, the longer it will take to cook through, so it's important to keep the pieces fairly similar in size.

Add the coconut oil into a large saucepan and heat the oil over medium heat. Add onions and cook until they start to soften.
2 – 3 tbsp coconut oil,½ yellow onion
Add the garlic and ginger to the softened onions, and sauté until the garlic starts to soften. Make sure it doesn't burn.
4 garlic cloves,1 inch ginger

Add curry powder, chili powder / cayenne pepper, paprika, cinnamon, curry leaves, and mix to combine. Cook for a few minutes until you start to smell the spices.
6 – 7 curry leaves,2 ½ tbsp roasted Sri Lankan curry powder,1 cinnamon stick,1 tsp cayenne pepper or kashmiri chili powder,1 tbsp paprika
Add the chicken, serrano peppers / green chili peppers, salt, roma tomatoes, about 1 tsp sugar, and mix to coat. Cook for 10 minutes with the lid off, on medium high heat. Frequently stir to make sure the chicken or the spices don’t burn.
½ tsp salt,2 lbs chicken,2 serrano peppers (or regular green chili),3 small roma tomatoes,2 tsp brown sugar
Add coconut milk, water, lime juice / vinegar, and bring the curry to a boil. If you want less gravy, add less liquid.
½ cup full-fat coconut milk,½ cup water,2 tsp lime juice or apple cider vinegar
Lower the heat and let it simmer with the lid on for about 20 minutes, stirring occasionally. Leave the lid off if you want to reduce the liquid content in the curry.
The chicken should be completely cooked by this point. This will depend on the size of the chicken pieces and the stove you use.
Taste the curry and season with more salt to taste if needed. You can add the rest of the sugar or more salt, or vinegar to your taste. Remember that curries can easily be adjusted to your taste!
If the chicken curry gravy is too thin, or there's too much of it, uncover and simmer the curry for a further 10 minutes or longer. This step is optional, but it allows the water to evaporate and for the gravy to thicken. If you want more gravy, you can add more water or coconut milk, but you will need to adjust the flavor accordingly.
Turn off the heat and let the chicken cool down slightly. Serve with rice or roti.
For best results, store the chicken curry in the fridge overnight and eat it the next day. (Seriously, it tastes even better the next day!)
Tips & Tricks
Recipe notes
NOTE 1 – if you want a less spicy curry, you can reduce the cayenne pepper to 1/4 – 1/2 tsp. If you like an extra spicy curry, you can add up to 2 tsp of cayenne pepper. We like it very spicy, and add up to 2 – 3 tsp of cayenne pepper / Kashmiri chili. Do NOT use Mexican chili powder for this curry. You should be able to find regular chili powder or Kashmiri chili at any Asian grocery store.
NOTE 2 – you can replace the 1/2 cup of coconut milk with water. If you’re not adding coconut milk, this chicken curry will be spicier. The coconut milk softens the heat.
NOTE 3 – if you want the curry to have a thicker gravy, you can reduce the amount of liquid by half.
NOTE 4 – The sugar is added to balance the spices, and bring out the saltiness of the curry. If you’re using a different curry powder, or you’re making curry for the first time, add only half of the sugar initially, and then add the rest of the sugar if you feel like you need it at the end. 
NOTE 5 – If you’re using store-bought curry powder, please make sure the curry powder has a combination of at least some of the spices of my Sri Lankan curry powder. Avoid curry powders that have turmeric, garlic powder, and onion powder as the main ingredients – these are NOT curry powders. 
NOTE 6 – In Sri Lanka, the main type of vinegar that is used is coconut vinegar. This is harder to find, and more expensive in other parts of the world. Lime juice is a great substitute, and apple cider vinegar can also be used. ",Chicken Curry,Curries,Spicy Flavor,10-20,"Lunch,Breakfast,Dinner",Western,Healthy
12,"Ingredients:
2 cups cooked jasmine rice day old, chilled rice is best.
2 tbsp Vegetable oil
14 g fresh ginger julienned. About 2 inches.
1 cup leeks washed, and sliced. White and light green parts only
1 cup shredded carrots
1 tsp cayenne pepper adjust to your preference. Use less if you don't want it to be too spicy.
1 tsp black pepper adjust to your preference. Use less if you don't want it to be too spicy.
¼ cup light soy sauce
2 tbsp brown sugar
1 cups raw shrimps prawns, halved
1 cups shredded cooked chicken I used left over chicken breast
2 large eggs optional, but recommended
4 spring onions chopped
28 g thai basil leaves sliced. About ¼ cup packed. You can use regular basil leaves instead too.
¼ cup unsalted chicken stock                                                                                Instructions:
In a large wok or non-stick pan, heat oil over medium high heat. When the oil is hot, add the ginger and saute until the ginger starts to turn golden at the edges.
2 tbsp Vegetable oil,14 g fresh ginger

Increase the heat to high and add the leeks, carrot, and half of the soy sauce, cayenne pepper, black pepper and sugar and saute for a few minutes until the leeks start to soften. The mix shouldn't become too soggy or watery and should remain fairly dry.
1 cup leeks,1 cup shredded carrots,1 tsp cayenne pepper,1 tsp black pepper,¼ cup light soy sauce,2 tbsp brown sugar

Add the shrimp and chicken and spring onions and stir fry to cook until the shrimp turns pink. Just a few minutes.
1 cups raw shrimps,1 cups shredded cooked chicken
Whisk the eggs really well in a bowl and set it aside.
2 large eggs
Push the vegetables and meat to one side of the pan (or remove it from the pan into a plate). Add a little oil to the empty side, and when the oil is heated add the whisked egg. Scramble the eggs. Once the eggs are scrambled and dry, mix it through with the rest of the vegetable mix. Lower the heat to medium heat.
Add the rice, stock, and basil leaves. Mix together to combine.
2 cups cooked jasmine rice,¼ cup unsalted chicken stock,28 g thai basil leaves
Taste and add the rest of the soy sauce to your preference.
¼ cup light soy sauce
Saute the rice until the stock is absorbed, and the vegetables, chicken and shrimp are mixed through. Taste and add salt if needed. Finally add the sliced spring onions and mix it in.
4 spring onions chopped
Serve while still hot.                                                                                                                                 ",Ginger and Basil Fried Rice,Rice,"Spicy Flavor,Fried",10-20,"Lunch,Dinner",Western,Healthy
13,"Ingredients:

▢400 g fresh mango about 3 – 4 mangoes, depending on the size. Preferably chilled. Frozen is fine too.
▢200 – 250 g full fat yogurt chilled (greek yogurt is fine too).
▢¼ tsp ground cardamom adjust to your taste
▢¼ tsp sea salt I use ½ tsp because I like this drink to be a touch salty
▢Sugar to taste
▢Water or milk to dilute I prefer water
Instructions:
Peel and cut the mangoes into chunks.
400 g fresh mango
Place the mango chunks and yogurt in a blender, and blend until smooth. Depending on your blender, you may need to blend the mango chunks first before adding the yogurt.
200 – 250 g full fat yogurt
Add the cardamom and salt, and about 2 tbsp sugar, and blend again.
¼ tsp ground cardamom,¼ tsp sea salt,Sugar to taste
Taste and add more sugar to taste.
Sugar to taste

Add enough water to dilute the mixture into a pourable but thick consistency (thinner than a smoothie).
Water or milk to dilute
Refrigerate the mango lassi until chilled.
Serve as is, or with a sprinkle of cardamom on top.",Mango Lassi,Drinks,"Cold,Shakes",1-10,"Snacks,Dines",Western,Healthy
14,"Ingredients:
▢1.5 cups fresh lime juice I use about 10 -12 limes, but this may vary
▢3 oz fresh ginger roughly chopped
▢3 tbsp water (for the ginger)
▢1 cup of sugar
▢1 cup of water
▢Pinch of salt
▢3 cups of ice cold soda water or water to dilute

Instructions:
Place the 1 cup of sugar and 1 cup of water in a saucepan and heat over medium heat to dissolve the sugar. Bring to a simmer. Once all the sugar has dissolved and the syrup starts to boil, set it aside to cool.

Place the 3 oz fresh ginger and 1 tbsp water (upto 3 tbsp) in a mini processor, and pulse until well blended and pureed. Strain the ginger juice through a sieve, pressing down on the pulp to get the most out of the ginger. Set aside ¼ cup of this ginger juice.

Alternatively, if you have a juicer, juice enough ginger to get 3 tbsp of pure ginger juice.
Mix the ginger and salt with the 1.5 cups of lime juice. Add up to 1 – 1.5 cups of sugar syrup to sweeten the ginger lime juice (change the amount of sugar you add according to your tastes).
Pour into a clean bottle/jar with a closeable cap and leave in the fridge to chill until needed.
To make the ginger limeade drink
To ensure the drink is nice and cold, make sure all components are chilled. You can use ice, but remember to add less liquid to compensate for the melting ice.
Mix the ginger lime syrup with water or soda water at a 1:2 ratio or a 1:1 ratio (for a stronger drink). Keep in the fridge until ready to serve. Enjoy! Add more water if needed.",Homemade Ginger Limeade,Drinks,"Cold,Shakes",10-20,"Snacks,Dines",Western,Healthy
15,"Ingredients
2 tbsp Kashmiri chilli powder
2 tbsp good quality curry powder]
1 kg (1 1/4lb) small bite sized chicken pieces, skin removed and preferably on the bone
1 tsp black pepper
1 tsp salt
1 tbsp light soy sauce
4 tbsp coconut oil
1 cinnamon stick, broken into small pieces, or cassia left whole
4 cloves
2 cardamon pods, lightly bruised
½ medium red onion, finely chopped
2 green chillies, cut lengthwise
5 cloves garlic, finely chopped
1 x 2.5cm (1 inch) ginger, finely chopped
2 small pieces of pandan leaves, about 7.5cm (3 inches) square total
20 curry leaves
½ tsp ground turmeric
1 tsp Chinese chicken powder (optional but it adds a nice flavour)
Salt and pepper to taste
Instructions
Place a dry frying pan over a medium heat and stir in the Kashmiri chilli powder and curry powder. Let these spices roast for a few minutes, stirring often until they turn a deep chocolate brown. Transfer the roasted spice powder to a plate and set aside.
Put the chicken in a large mixing bowl and season with the salt, pepper and soy sauce. Be sure to mix these ingredients right into the flesh of the meat. You can now go straight to cooking or leave it to marinate overnight.
When ready to cook, heat the coconut oil in a large wok or pot over a medium-high heat. Add the cinnamon stick, cloves, cardamom pods, chopped onion, chillies, garlic, ginger, pandan leaf and curry leaves and stir it all up.
Continue frying for about 5 minutes or until the onion is just beginning to turn a golden brown and then stir in the ground turmeric and the prepared roasted curry powder and chilli powder blend.
Pour in 250ml (1 cup) water and bring it all to a simmer. Then add the chicken and add a little more water if required. You want the water level to almost but not completely cover the chicken pieces. Add the Chinese chicken powder, if using.
Cover the pan and continue cooking for about 10 minutes, by which time the meat should be just about cooked through.
Then uncover the pan and let it all simmer gently for another 10 minutes or so to thicken the sauce. This is normally a dry curry with a thick sauce and the black sauce should coat the chicken.
Season with salt and pepper to taste and enjoy with white rice or matta rice.",Sri Lankan black pepper chicken curry,Curries,Spicy Flavour,20+   ,"Lunch,Dinner",Western,Healthy
16,"Ingredients
250ml (1 cup) coconut oil
30 curry leaves
4 cloves garlic, sliced thinly
350g (12 oz) raw cashews
1/2 tsp ground turmeric
1 tbsp Kashmiri red chilli powder
1 tsp ground black pepper
Salt to taste
Instructions
Heat the oil over a medium high heat in a wok or large pan. When visibly hot, stir in the curry leaves and let them sizzle in the hot oil for about 30 seconds. The curry leaves should look shiny and be a bit crispy.
Transfer the curry leaves to a plate with a slotted spoon and then add the garlic slivers to the same oil. Fry for about a minute or until the garlic is just beginning to brown. Transfer the garlic to the plate with the curry leaves.
Now add the cashews to the hot oil. Be sure to stir continuously so that the cashews brown evening. In Sri Lanka, the cashews are deep fried so that they fry evenly. You can use less oil with this recipe but watch them carefully.
Just before the cashews are finished cooking, stir in the ground turmeric.
Transfer the browned cashews to a bowl lined with a few paper towels. Use the paper towels to soak up any excess oil. Then add the fried curry leaves and garlic, followed by the black pepper, chilli powder and salt to taste.
Be sure to stir the nuts well so that they are equally coated with the other ingredients. Pour into a serving bowl and serve hot. You can also serve these warm or at room temperature but hot is best.",Spicy Sri Lankan Fried Cashews,Curries,"Spicy Flavour,Fried",20+   ,Lunch,Western,Healthy
17,"Ingredients
900g (2 lbs) baby squid tubes, cleaned and cut into small bit sized rings
500ml (2 1/4 cups) full fat milk
2 eggs
120g (1 cup) cornflour (corn starch)
120g (1 cup) rice flour or more cornflour (corn starch)
1 tsp salt
1 tsp black pepper
1 tbsp red chilli powder
Rapeseed oil for deep frying
TO FINISH
5 generous tbsp butter
6 cloves garlic, finely chopped
2 tbsp chilli paste (see page 00) or any good quality Chinese chilli paste
2 red spur chillies, thinly sliced at an angle
3 dried bird’s eye chillies, roughly cut and soaked in water for 30 minutes
6 spring onions (scallions), cut in half and sliced into thin strips lengthwise
1 green bell pepper, thinly sliced into strips to match the spring onions (scallions)
Juice of one lime
Instructions
Place the squid in a bowl and cover with the milk. Milk is a natural tenderiser which gives the squid a perfect texture when fried so be sure the squid is completely covered.
Cover the bowl with cling film and place in the fridge overnight to marinate. The milk will turn pink which is natural and fine.
When ready to cook, remove the squid from the milk marinade and discard the milk. Whisk the eggs in a bowl and place the squid in it.
Now mix the two flours on a plate with the salt, pepper and chilli powder. Dust the egg coated squid thoroughly with the flour mixture and shake off any excess flour. Set aside.
Heat about 500ml (2 cups) of oil in a wok and heat to 190°C (375°F) over medium high heat. If you don’t have an oi thermometer, place a wooden chopstick or spatula in the oil. If thousands of little bubbles form and sizzle on contact, your oil is ready to cook.
Cook the squid in small batches until crispy and lightly browned which will take about 1 minute per batch. Do not overcook the squid or it will become chewy.
Transfer the cooked calamari to a paper towel lined plate and set aside. Discard the cooking oil.
Wipe your wok clean and add the butter. Melt the butter over a medium high heat and add the chopped garlic. Swirl the garlic around in the butter for about a minute and then stir in the chilli paste.
Let this all sizzle for about 30 seconds and then stir in the spur chillies, spring onions (scallions) and bell pepper. Fry for a further minute or so and the pour in the fried calamari.
Toss the calamari into the sauce to coat and then pour it all onto a serving plate. Season with salt and pepper to taste and squeeze the lime juice all over it.",Sri Lankan Fried Calamari,Curries,"Spicy Flavour,Fried",10-20,"Lunch,Dinner",Western,Healthy
18,"Ingredients
2 cups split chana (gram) lentils, soaked for 5 hours or overnight
5 cloves garlic
1 tsp dried red chilli flakes (optional)
1 tsp Kashmiri chilli powder (more or less to taste)
½ tsp salt
1 medium red onions, finely chopped
3 green bird’s eye chillies
10 fresh or frozen curry leaves
300g fresh raw prawns
TO SERVE
Tamarind sauce
cabage, thinly sliced
carrot, grated
spring onions
tomato
Instructions
Soak the lentils in water for at least six hours or overnight. After soaking the dried lentils will be so soft you can smash them between your fingers. Strain the lentils and place them in a food processor with the remaining vade ingredients up to and including the curry leaves. Do not add any water. Just blend the lentils and other ingredients to a paste.
Wet your hands with water and take a small handful of the paste out and form it into a ball. Then flatten slightly and place a prawn in the centre, pressing down firmly so that it doesn’t escape and go swimming when you place the vade in the oil. Repeat with the remaining paste and prawns.
Begin heating about 5cm (2 inches) of oil in a wok or similar. It needs to be about 200c/400f. If you don’t have an oil thermometer, place a wooded chopstick or spatula in the oil. If sizzling bubbles from around the wood instantaneously, your oil is ready for frying.
Fry the vade in small batches so that you don’t lower the temperature of the oil and fry, carefully splashing oil over the vade with a spoon until it is lightly browned and the prawn is cooked through. Repeat with the remaining vade.
To serves, top with tamarind sauce or anything sauce you like really. I top my isso vade with hot sauce when I don’t have any tamarind sauce on hand. I always have hot sauce in the cupboard. Then serve topped with salad vegetable to your liking",Isso Vade,Snacks,"Spicy Flavour,Fried",20+   ,"Snacks,Dines",Western,Healthy
19,"Ingredients
2 tbsp coconut oil
1/2 red onion, thinly sliced
1 tbsp garlic, roughly chopped
1 tbsp ginger, roughly chopped
1 tbsp thinly sliced lemongrass
2 green bird's eye chillies, thinly sliced
20 curry leaves
1 x 5cm (2 inch) cinnamon stick
2 tomatoes, diced
1 tbsp dried chilli flakes
1 tbsp curry powder
1/2 tsp ground turmeric
1 - 2 tbsp Habanero chilli sauce or more chilli flakes to taste
450g (1 lb) raw prawns
250ml (1 cup) coconut milk
Salt to taste
Instructions
Heat the coconut oil over medium high heat and then add the sliced onion. Fry for a couple of minutes and then stir in the chopped garlic, ginger, lemongrass and green chillies.
Stir this all around in the oil and then toss in the curry leaves and cinnamon stick. If using real cinnamon, you can break it up into the sauce. Really good! Fry for another 30 seconds.
Add the curry powder, ground turmeric, chilli sauce and chopped tomatoes and give this all a good stir.
Stir in the prawns and cook, while stirring regularly until the prawns are just cooked through. The cooking time will vary depending on the size of your prawns but it took about 3 minutes for me.
Add the coconut milk and bring to a simmer. Season with salt and pepper to taste to serve.",Sri Lankan Prawn Curry,Curries,"Kirata(Using Coconut Milk),Spicy Flavor,Fried",10-20,"Lunch,Breakfast,Dinner",Western,Healthy
20,"Ingredients
900g (2 lbs) stewing beef, cut into bite sized pieces
2 generous tsp ground cumin
1 generous tbsp Kashmiri chilli powder or another of choice
2 tsp black pepper
1 tsp salt
1 x 5cm ( 2 inch) real cinnamon stick, broken up.*
2 tbsp coconut oil
5 cloves garlic, minced (approx. 2 generous tbsp)
5cm (2 inches) leek, thinly sliced
15 fresh or frozen curry leaves
¼ red onion, thinly sliced
1 tsp fenugreek seeds
Instructions
Place the beef in a mixing bowl and add the cumin, chilli powder, black pepper, salt and broken up piece of real cinnamon.*
Mix well with your hands so that the meat is equally coated and then pour in 250ml (1 cup) of water. Stir it all up and set aside to marinate for a few minutes or even overnight. The longer the better.
When ready to cook the curry, heat the oil over medium high heat and stir in the garlic. Stir until fragrant, about 30 seconds and then add the sliced leek, curry leaves, red onion and fenugreek seeds. If using cassia instead of real cinnamon, it can be added to the oil at this stage too.
Fry this veggie mixture for about 5 minutes to soften and flavour the oil and then pour in the marinated beef.
Brown the beef in the oil for a couple of minutes and then pour in just enough water to cover. Place the lid on the pot and simmer over a medium heat for about 40 minutes or until the beef is good and tender. Don’t rush this! It’s ready when it’s ready. If needed, you can always add a drop more water if the sauce is drying up.
Serve with white basmati rice or red matta rice.",Sri Lankan Beef Curry,Curries,Spicy Flavour,20+ ,"Lunch,Dinner",Western,Healthy
21,"Ingredients
500 g large prawns
3 tbsp coconut oil
8 cloves garlic – minced
1 inch ginger finely minced
1 onion finely chopped
12 curry leaves
1 inch pandan leave
1 tbsp Madra curry powder
1 tbsp chilli powder
400 ml coconut milk
3 green finger chiles
½ tsp black pepper
Salt to taste
Instructions
Clean, de-shell and de-vein the prawns. Remove the heads if you like.
Heat the coconut oil in a large saucepan over a high heat. Add the onion, ginger and garlic and sauté until fragrant.
Add the curry powder, chilli powder, chillies, pepper, curry leaves and pandan leaves. Saute until they are fragrant.
Add the prawns to the pan and sear them on each side, stirring gently.
Add the coconut milk to the pan. Simmer for 5 minutes or so until the curry thickens slightly.
Season with salt to taste.",Prawn Curry with Moringa Leaves,Curries,Kirata(Using Coconut Milk),20+ ,"Lunch,Dinner",Western,Healthy
22,"Ingredients
3 tbsp coconut oil
1 x 5cm (2 inch) cinnamon stick
20 fresh or frozen curry leave
2 x 5cm x 5cm (2 inch x 2 inch) pandan leaves, optional
250g (9oz) lamb, cut into small dice
250g (9oz) beef, cut into small dice
2 tsp Kashmiri chilli powder
1 tsp ground turmeric
1 medium red onion, finely chopped
2 lemongrass stalks, white parts only, finely chopped
2 tbsp garlic and ginger paste
3 green bird's eye chillies, slit down the centre
2 tbsp Sri Lankan dark roasted curry powder or another good quality curry powder
1 generous tsp ground black pepper
1 tsp tamarind concentrate
400ml (1 1/2 cups) thick coconut milk
250g (9oz) chicken, cut into small dice
Salt to taste
Instructions
Melt the coconut oil in a large high sided pan or wok that has a lid over medium-high heat. When visibly hot, stir in add the cinnamon stick, curry leaves and pandan leaves and let these ingredients infuse into the hot oil for about 30 seconds. Now add the lamb pieces and fry to brown for about 5 minutes, stirring regularly. Add the beef pieces and sprinkle it all with the chilli powder and ground turmeric. Stir well to coat.
Stir in the chopped onion and lemongrass and fry for about a minute. Then stir in the garlic and ginger paste and the chillies and fry, stirring continuously for about a minute. Add just enough water to cover and cook the meat with the lid on for about 20 minutes or until it is still a bit tough but almost tender enough to eat.
Add the chicken pieces, curry powder, tamarind concentrate and black pepper and stir it all in well. Then add the coconut milk and tamarind concentrate. Simmer with the lid off until the chicken is cooked through. Then continue simmering to thicken then sauce. Make sure that beef and lamb is deliciously tender before serving.
Season with salt to taste and adjust the flavour of the sauce to taste.",Sri Lankan 3 Meat Curry,Curries,Spicy Flvour,20+ ,Lunch,Western,Healthy
23,"Ingredients
2 medium aubergines, cut into one inch pieces
1 tsp salt
½ tsp ground turmeric
Rapeseed (canola) oil for shallow frying
10 shallots
2 tbsp coconut oil
1 tsp black mustard seeds
1 x 2.5cm (1 inch) cinnamon stick
3 green cardamom pods, bruised
20 fresh or frozen curry leaves
2 x 2.5cm x 2.5cm (1” x 1”) pandan leaves (optional)
1 red onion, finely chopped
2 tbsp garlic and ginger paste
10 green bird’s eye chillies, split lengthwise
2 large finely chopped tomatoes
1 tbsp ground coriander
2 tsp ground cumin
2 tsp Kashmiri chilli powder
2 tsp light brown sugar
2 tbsp distilled white vinegar or coconut vinegar
1 tsp tamarind concentrate
250ml (1 cup) thick coconut milk
Instructions
Place the aubergine pieces in a large mixing bowl and sprinkle with the ground turmeric and salt. Mix well to coat and allow to sit while you heat the oil.
Heat about 5cm (2 inches) of vegetable oil in a large pan or wok until visibly hot and then add the eggplant (aubergine). You should do this in two or more batches to maintain the heat of the oil.
Fry until golden brown and then transfer to paper towels to soak up any excess oil. Fry the shallots in the same way but these should only be lightly browned to soften. Transfer these to paper towels too. You can discard the cooking oil.
Wipe the pan clean and then place it back on a medium-high heat. Add the coconut oil and when it melts stir in the mustard seeds.
When the mustard seeds begin to crackle, reduce the heat to medium and add the cinnamon, cardamom pods, curry leaves and the pandan leaves (if using). Infuse the ingredients into the oil for about 30 seconds and then add the chopped onion. Fry this for about five minutes or until the onion is soft and translucent and then stir in the garlic and ginger paste. Stir in the chillies and fry for 30 seconds and then add the remaining ingredients.
Simmer the sauce for a minute or two and then taste it. It should be a nice combination of sweet, sour and spicy. At this stage you can adjust the flavour to taste by adding more sugar, vinegar or tamarind. If you think it is too spicy, just add more coconut milk.
Once you’re happy with the sauce, pour in the fried aubergines and shallots. Bring up to heat, stirring it all together to combine. Season with salt to taste and serve.",Eggplant Curry,Curries,"Kirata(Using Coconut Milk),Spicy Flavor,Fried",10-20,Lunch,Western,Healthy
24,"Ingredients
1 tsp dry active yeast
70ml (1/4 cup) warm water
1 tbsp sugar
FOR THE BATTER
270g (2 cups) white or brown rice flour
400ml (1 ½ cups) good quality coconut milk
125ml ( ½ cup) coconut water or water
½ tsp salt
½ tsp sugar
Instructions
Pour the warm water into a bowl. It should be hand hot so not boiling but about bath water temperature. Stir in the dry active yeast and sugar and then cover with a towel to retain the heat of the water and place in a warm location for about 15 to 20 minutes. The yeast will wake up and become bubbly.
While the yeast is proving, sift the rice flour into a large mixing bowl and add just enough of the coconut milk to make a soft dough. Cover and let it rise in a warm location for about 4 hours.
After four hours, add the remaining coconut milk and knead it into the dough. Then start adding the coconut water or water slowly. You may not need it all. You just want to have a thick and creamy batter similar to full fat cream. Whisk until there are no lumps in the batter. Your batter is now ready to use but you can make it even better by letting the batter ferment.
To do so, cover the batter tightly and place it in a warm place. I usually place it in my oven with just the pilot light turned on. Leave it to ferment for 24 hours for a stronger, more authentic flavour. Whisk again and set aside.
To cook the hoppers, lightly grease a hopper pan. You just want a film of oil so that the hopper doesn’t stick and greasing the pan is not necessary if you are using a non-stick hopper pan.
Place the pan over a medium-high heat and when hot, add a small ladle full of the batter and swirl it around in the pan. You are aiming for a thin film of batter all over the sides of the pan and more batter at the bottom. This will give you both a fluffy and crispy hopper just like those you find in Sri Lanka.
Cover the pan and cook for about 4 minutes. The sides will turn crispy brown and the bottom of the hopper will be nice and fluffy.
If you are not using a non-stick hopper pan, hit the sides of the pan a few times with the handle of a knife and then use the same knife to ease the hopper out of the pan.
Transfer your cooked hopper to a plate and continue until all the batter is used up or until you have enough to serve. Any leftover batter can be stored in the fridge for at least three days and it can also be frozen for up to six months.",Hopper Recipe,Rice,white Rice/Brown Rice,20+ ,"Lunch,Breakfast,Dinner",Western,Healthy
25,"Ingredients
Nutrition
10g dried porcini
50g unsalted butter
1 tbsp vegetable oil
500g chestnut mushrooms
cleaned and sliced
1 onion
finely diced
3 cloves garlic
sliced
15 sprigs thyme
leaves picked
600ml chicken stock
100ml double cream
PICKLED MUSHROOMS
75ml white wine vinegar
100g caster sugar
200g mushroom mix
(such as Ocado's gold exotic mushroom mix)
Method
step 1
To make the pickled mushrooms, heat the white wine vinegar and caster sugar in a small pan with a pinch of salt until the sugar dissolves. Remove from the heat and add 50ml of water. Cool to room temperature, add the mushroom mix and leave to pickle while you make the soup.

step 2
Put the dried porcini mushrooms in a bowl and cover with boiling water. Heat the butter and oil in a large pan and, once the butter is foaming, add the chestnut mushrooms. Cook on a high heat for 10 minutes or until all the water has evaporated and the mushrooms are a deep golden brown.

step 3
Reduce the heat and add the onion, garlic, thyme leaves and a pinch of salt, and fry for 3-4 minutes until soft. Strain the porcinis (to remove any grit), add to the pan with the strained porcini liquid and chicken stock, and simmer for 15 minutes. Remove from the heat and stir through the double cream. Put the soup in a blender or food processor and blend until smooth. Serve the drained pickled mushrooms on top of the soup.",Mushroom soup,Soups,Hot,10-20,"Breakfast,Dinner",Western,Healthy
26,"Ingredients
Servings
3

350 g String hopper Flour (red or white or mix of both)

6 g salt

400 g/ml Luke warm water* (you may need more water depending on how dry the flour is)

1 tsp cooking oil to apply on string hopper trays
Instructions
To a bowl add string hopper flour and salt. Mix a little bit with a wooden spoon or a stick.


Add warm water to the bowl little by little and mix with the wooden stick until you see the flour form into lumps of dough. 


 Some string hopper packets/brands say to use room-temperature water. Nevertheless, I always find I get softer string hoppers and a manageable dough when I use warm water.
Then Mix the dough with your hand into one soft pliable dough. The dough should be a little tacky but not sticky. And when squeeze the dough with your hand, it should not crumble apart or  should not stick to your finger. If the dough is too tough or dry, add a little bit of water and knead again. If the dough is sticky and watery, add a little bit of string hopper flour and knead it.


Lay the string hopper trays on the counter. Apply a very thin coating of oil over the surface of string hopper trays. This prevents the string hoppers from sticking to the trays.


Fill the string hopper maker with dough, up to 80% of its volume, leaving some space on the top. 


Press the string hopper maker and add strings/noodles over the string hopper tray in a circular motion. When the tray is covered with strings, stop pushing the string hopper maker and cut the strings using your finger.


Add strings/noodles to about 10 trays or as many as you can fit in your steamer basket at once. 


I have 20 string hopper trays. But my steamer can only hold 10 trays at once. So I only prep 10 trays at once. When those 10 trays are steaming, I prep the rest of the 10 trays.
Place the string hopper trays in the steamer basket, layering them with minimal overlapping to ensure even steaming. 


Steam them for 5 - 6 minutes or until string hoppers are cooked through. Gently touch the top of the string hopper with a spoon or your finger (be very careful of the steam), it should be firm, springy, and not sticky at all.


Take the string hopper trays out  (you can use a tong for this) and remove the string hoppers from the trays. Stack them in a bowl/container and keep them covered to prevent them from drying out while you make the rest of the string hoppers. Enjoy string hoppers with your favorite side dishes!

",Sri Lankan String Hoppers (ඉඳිආප්ප),Rice,white Rice/Brown Rice,20+ ,"Breakfast,Dinner",Western,Healthy
27,"Sri Lankan Lunu Miris / chili condiment recipe
Print Recipe
Sri Lankan Lunu Miris
 Author: Roshani Wickramasinghe
 Cooking Method: No cooking needed
 Cuisine: Sri Lankan
 Courses:
Breakfast
,
Dinner
,
Lunch
 Recipe Keys:
Difficulty:
Beginner
Prep Time
10 mins
Total Time
10 mins
Servings:
3
Description
Sri Lankan Lunu Miris is a vibrant and bold condiment that packs a punch of flavors, combining spicy, citrusy, salty,  and umami notes. It's incredibly easy to make in under 10 minutes with no cooking required.

",Sri Lankan Lunu Miris,Curries,Spicy Flavour,10-20,"Breakfast,Dinner",Western,Healthy
